id,property_type,address,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming pool,garden,air_conditioning ,heating,log_price,city-neighborhood
104106413,Duplex,El Coll,Gràcia,Barcelona,310000.0,85,2,2,0,2023.0,True,True,False,False,True,False,False,False,False,True,True,12.644330802262578,Barcelona - Gràcia
103829684,Flat / apartment,calle de Saragossa,El Putxet i el Farró,Barcelona,450000.0,73,2,2,2,1979.0,True,True,False,True,True,False,False,False,False,True,True,13.017005083966255,Barcelona - El Putxet i el Farró
101340020,Flat / apartment,"avenida de Vilanova, 12",Bellvitge,Hospitalet de Llobregat,207000.0,87,3,1,2,1977.0,True,True,True,False,True,False,False,False,False,True,True,12.240478903153711,Hospitalet de Llobregat - Bellvitge
100300870,Flat / apartment,"calle de Pablo Iglesias, 71",La Prosperitat,Barcelona,198000.0,70,3,2,1,1964.0,True,True,False,False,True,False,False,False,False,False,False,12.19602736016897,Barcelona - La Prosperitat
103406733,Flat / apartment,calle dels Madrazo,Sant Gervasi - Galvany,Barcelona,470000.0,53,1,1,0,1931.0,True,True,False,False,True,False,False,False,False,False,True,13.060490101343552,Barcelona - Sant Gervasi - Galvany
103761876,Duplex,calle Pons i Pons,El Raval,Santa Coloma de Gramenet,195000.0,70,2,1,3,2010.0,True,True,True,True,True,False,False,False,False,True,True,12.180759965737863,Santa Coloma de Gramenet - El Raval
103894694,Penthouse,calle de Castellnou,Les Tres Torres,Barcelona,1250000.0,225,5,2,5,1972.0,True,True,True,True,True,True,True,False,False,False,True,14.038654909278163,Barcelona - Les Tres Torres
102968567,Flat / apartment,calle de Calatrava,Les Tres Torres,Barcelona,1590000.0,261,5,5,2,1977.0,True,True,True,False,True,False,True,False,False,True,True,14.279245203127036,Barcelona - Les Tres Torres
103980919,Flat / apartment,calle de Quetzal,La Bordeta,Barcelona,285000.0,75,3,1,6,1958.0,False,True,False,False,True,False,False,False,False,False,True,12.560247968016562,Barcelona - La Bordeta
100726814,Flat / apartment,La Barceloneta,Ciutat Vella,Barcelona,550000.0,110,2,1,0,1975.0,False,True,False,False,True,False,True,False,False,True,True,13.21767537538882,Barcelona - Ciutat Vella
103527183,Flat / apartment,"plaza de Lesseps, 1",Vila de Gràcia,Barcelona,479000.0,98,2,2,1,1950.0,True,True,True,False,True,False,False,False,False,True,True,13.079457964073546,Barcelona - Vila de Gràcia
103111995,Flat / apartment,calle Malgrat de Mar,Pomar,Badalona,145000.0,72,3,1,4,1965.0,True,False,False,False,True,False,False,False,False,False,True,11.884495917930655,Badalona - Pomar
101320994,Flat / apartment,Santiago Rosiñol,Singuerlín,Santa Coloma de Gramenet,102000.0,56,2,1,0,1966.0,True,True,False,False,True,False,False,False,False,False,False,11.53273789613992,Santa Coloma de Gramenet - Singuerlín
103158036,Flat / apartment,calle de Balmes,Sant Gervasi - La Bonanova,Barcelona,1100000.0,194,4,4,3,1941.0,True,True,True,True,True,False,False,False,False,False,True,13.910821646859096,Barcelona - Sant Gervasi - La Bonanova
103937743,Flat / apartment,calle gava con gayarre,La Bordeta,Barcelona,319000.0,87,3,2,4,1978.0,True,True,False,True,True,False,False,False,False,False,True,12.672949516558306,Barcelona - La Bordeta
91965832,Terraced house,Les Tres Torres,Sarrià-Sant Gervasi,Barcelona,2500000.0,280,3,3,3,1973.0,False,False,True,False,True,False,True,False,False,True,True,14.731801689838347,Barcelona - Sarrià-Sant Gervasi
103934999,Detached house,calle de Provença,La Dreta de l'Eixample,Barcelona,3000000.0,568,8,6,0,1920.0,False,False,True,True,True,True,False,True,True,True,True,14.914123179965662,Barcelona - La Dreta de l'Eixample
103351431,Flat / apartment,calle de Aragón,La Sagrada Família,Barcelona,270000.0,50,1,1,4,1930.0,True,True,True,True,True,False,False,False,False,True,True,12.506180941677355,Barcelona - La Sagrada Família
101066724,Flat / apartment,calle de Copérnic,Sant Gervasi - Galvany,Barcelona,675000.0,110,3,2,1,1965.0,True,True,False,True,True,False,True,False,False,True,True,13.42246945133505,Barcelona - Sant Gervasi - Galvany
103036909,Flat / apartment,calle de Calderón de la Barca,La Salut,Badalona,145000.0,125,4,2,2,1971.0,True,True,False,False,True,False,False,False,False,False,True,11.884495917930655,Badalona - La Salut
104243786,Flat / apartment,calle de Leiva,Hostafrancs,Barcelona,139000.0,35,1,1,0,1933.0,False,True,True,False,True,False,False,False,False,True,True,11.842236406331557,Barcelona - Hostafrancs
90407835,Flat / apartment,El Gòtic,Ciutat Vella,Barcelona,795000.0,88,2,2,0,1900.0,True,True,False,False,True,False,False,False,False,True,True,13.586098651497313,Barcelona - Ciutat Vella
100597911,Flat / apartment,calle Nou de la Rambla,El Raval,Barcelona,277000.0,76,3,1,2,1936.0,False,True,True,False,True,True,False,False,False,False,True,12.531776395271262,Barcelona - El Raval
